

Curve Name:
  !PHBHp0607
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]         [%]
           0           0     33,0274          25         100
        1194        1194     220,074         224     96,6828
        1200        1200     221,028         225     96,0957
        1206        1206     221,981         226     95,4348
        1212        1212     222,933         227     94,6993
        1218        1218     223,878         228     93,8857
        1224        1224     224,828         229     92,9835
        1230        1230      225,75         230     91,9919
        1236        1236     226,695         231     90,9298
        1242        1242      227,61         232     89,7574
        1248        1248     228,531         233     88,4265
        1254        1254      229,47         234     87,0342
        1260        1260     230,418         235      85,652
        1266        1266      231,36         236      84,244
        1272        1272     232,303         237     82,7734
        1278        1278     233,242         238     81,1996
        1284        1284     234,189         239     79,5675
        1290        1290     235,133         240     77,8803
        1296        1296     236,086         241     76,1205
        1302        1302     237,012         242     74,2716
        1308        1308     237,984         243     72,3542
        1314        1314      238,94         244     70,4611
        1320        1320     239,908         245     68,5551
        1326        1326     240,878         246     66,6381
        1332        1332     241,838         247     64,6392
        1338        1338      242,81         248     62,5969
        1344        1344     243,778         249     60,5395
        1350        1350     244,767         250     58,4475
        1356        1356     245,729         251     56,3736
        1362        1362     246,714         252     54,2666
        1368        1368     247,699         253     52,1481
        1374        1374     248,683         254     50,0131
        1380        1380     249,674         255     47,8508
        1386        1386     250,657         256     45,6324
        1392        1392     251,656         257     43,4109
        1398        1398     252,651         258     41,1913
        1404        1404     253,654         259     38,9891
        1410        1410     254,657         260     36,8072
        1416        1416     255,657         261     34,6026
        1422        1422     256,671         262     32,3387
        1428        1428      257,67         263     30,0577
        1434        1434     258,679         264     27,7753
        1440        1440     259,695         265     25,4879
        1446        1446     260,723         266     23,2237
        1452        1452     261,766         267     21,0222
        1458        1458     262,835         268     18,9448
        1464        1464     263,934         269     17,0424
        1470        1470     265,027         270      15,302
        1476        1476      266,14         271     13,7178
        1482        1482     267,271         272     12,2738
        1488        1488      268,41         273     11,0013
        1494        1494     269,566         274     9,95097
        1500        1500     270,746         275     9,11734
        1506        1506     271,934         276     8,51822
        1512        1512     273,099         277     8,11295
        1518        1518     274,248         278     7,83223
        1524        1524     275,393         279     7,64536
        1530        1530     276,516         280     7,53458
        1536        1536     277,625         281     7,46731
