

Curve Name:
  !PHBH_10 layer
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [�C]        [�C]         [%]
        1056        1056       195.4         201     102.107
        1062        1062     196.388         202     102.112
        1068        1068     197.382         203     102.116
        1074        1074     198.361         204      102.12
        1080        1080     199.352         205     102.122
        1086        1086     200.348         206     102.126
        1092        1092     201.331         207     102.126
        1098        1098     202.338         208     102.127
        1104        1104     203.319         209     102.133
        1110        1110     204.318         210     102.134
        1116        1116     205.311         211     102.135
        1122        1122       206.3         212     102.136
        1128        1128     207.297         213     102.142
        1134        1134     208.286         214     102.145
        1140        1140      209.28         215     102.145
        1146        1146     210.282         216     102.145
        1152        1152     211.275         217     102.152
        1158        1158     212.271         218     102.152
        1164        1164     213.265         219     102.152
        1170        1170     214.259         220     102.155
        1176        1176     215.261         221     102.155
        1182        1182     216.257         222     102.155
        1188        1188     217.243         223     102.155
        1194        1194     218.246         224     102.157
        1200        1200     219.248         225     102.159
        1206        1206     220.247         226      102.16
        1212        1212     221.251         227     102.161
        1218        1218     222.248         228     102.164
        1224        1224     223.249         229     102.163
        1230        1230      224.25         230     102.162
        1236        1236     225.249         231      102.16
        1242        1242     226.255         232     102.158
        1248        1248     227.246         233     102.155
        1254        1254     228.247         234     102.157
        1260        1260      229.24         235     102.158
        1266        1266     230.245         236     102.155
        1272        1272     231.252         237     102.155
        1278        1278     232.255         238     102.153
        1284        1284     233.261         239     102.146
        1290        1290      234.27         240     102.145
        1296        1296     235.287         241     102.142
        1302        1302      236.29         242     102.134
        1308        1308     237.296         243     102.127
        1314        1314     238.292         244      102.13
        1320        1320     239.314         245      102.12
        1326        1326     240.311         246      102.11
        1332        1332     241.319         247     102.103
        1338        1338     242.328         248     102.094
        1344        1344     243.336         249     102.081
        1350        1350     244.353         250     102.068
        1356        1356     245.356         251     102.052
        1362        1362     246.364         252     102.035
        1368        1368     247.363         253     102.016
        1374        1374     248.378         254     101.991
        1380        1380     249.386         255     101.964
        1386        1386     250.391         256     101.938
        1392        1392     251.404         257     101.903
        1398        1398     252.424         258     101.865
        1404        1404     253.441         259     101.819
        1410        1410     254.453         260     101.761
        1416        1416     255.483         261     101.692
        1422        1422     256.504         262     101.618
        1428        1428      257.51         263      101.53
        1434        1434     258.527         264     101.428
        1440        1440     259.535         265     101.318
        1446        1446      260.56         266     101.185
        1452        1452     261.571         267     101.039
        1458        1458     262.581         268     100.872
        1464        1464       263.6         269     100.684
        1470        1470      264.62         270     100.467
        1476        1476     265.647         271     100.212
        1482        1482     266.645         272     99.9284
        1488        1488     267.681         273     99.6029
        1494        1494     268.702         274     99.2233
        1500        1500     269.724         275     98.7838
        1506        1506     270.748         276     98.2751
        1512        1512     271.762         277     97.6856
        1518        1518     272.778         278     97.0015
        1524        1524     273.803         279     96.1978
        1530        1530     274.808         280     95.2312
        1536        1536     275.824         281      94.096
        1542        1542     276.843         282     92.7668
        1548        1548     277.849         283     91.2218
        1554        1554     278.856         284     89.4773
        1560        1560      279.85         285     87.4678
        1566        1566     280.848         286     85.3076
        1572        1572     281.849         287     82.9041
        1578        1578     282.836         288     80.1541
        1584        1584     283.827         289     77.2176
