

Curve Name:
  !PHBH_powder
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]         [%]
           0           0     32,2597          25         100
        1200        1200     218,809         225     100,592
        1206        1206     219,803         226     100,588
        1212        1212       220,8         227     100,584
        1218        1218     221,792         228      100,58
        1224        1224     222,793         229     100,577
        1230        1230     223,793         230     100,572
        1236        1236     224,791         231     100,567
        1242        1242     225,777         232     100,562
        1248        1248     226,779         233     100,555
        1254        1254      227,79         234     100,548
        1260        1260     228,787         235     100,542
        1266        1266     229,786         236     100,534
        1272        1272     230,783         237     100,527
        1278        1278     231,784         238     100,519
        1284        1284     232,792         239      100,51
        1290        1290     233,798         240     100,502
        1296        1296     234,798         241     100,494
        1302        1302     235,792         242     100,485
        1308        1308     236,809         243     100,476
        1314        1314     237,805         244     100,468
        1320        1320     238,812         245     100,461
        1326        1326     239,821         246     100,453
        1332        1332     240,823         247     100,445
        1338        1338     241,839         248     100,436
        1344        1344     242,842         249     100,427
        1350        1350      243,86         250     100,417
        1356        1356     244,854         251     100,407
        1362        1362     245,867         252     100,395
        1368        1368     246,885         253     100,383
        1374        1374     247,899         254      100,37
        1380        1380     248,906         255     100,355
        1386        1386     249,914         256      100,34
        1392        1392     250,919         257     100,323
        1398        1398     251,922         258     100,303
        1404        1404     252,936         259     100,282
        1410        1410     253,929         260      100,26
        1416        1416     254,945         261     100,236
        1422        1422     255,938         262     100,206
        1428        1428     256,942         263     100,174
        1434        1434     257,929         264      100,14
        1440        1440     258,938         265       100,1
        1446        1446     259,927         266     100,056
        1452        1452     260,937         267     100,008
        1458        1458      261,92         268     99,9501
        1464        1464     262,913         269     99,8854
        1470        1470     263,904         270     99,8109
        1476        1476     264,903         271     99,7251
        1482        1482     265,888         272     99,6254
        1488        1488     266,885         273     99,5112
        1494        1494     267,874         274     99,3774
        1500        1500     268,862         275     99,2213
        1506        1506     269,859         276     99,0342
        1512        1512     270,831         277     98,8066
        1518        1518     271,819         278     98,5278
        1524        1524     272,786         279     98,1807
        1530        1530     273,762         280     97,7179
        1536        1536     274,748         281     97,0892
        1542        1542     275,648         282     96,2603
        1548        1548     276,449         283     95,2151
        1554        1554     277,241         284     94,0372
        1560        1560     278,008         285     92,7998
        1566        1566     278,751         286     91,4011
        1572        1572     279,442         287     89,7391
        1578        1578     280,155         288     87,8962
        1584        1584     280,824         289     85,8667
        1590        1590     281,486         290     83,5907
        1596        1596      282,19         291     81,2001
        1602        1602     282,866         292     78,6278
        1608        1608     283,546         293     75,8269
        1614        1614     284,229         294     72,8837
        1620        1620     284,917         295     69,6818
        1626        1626     285,632         296     66,3438
        1632        1632     286,344         297     62,8495
        1638        1638     287,067         298     59,2065
        1644        1644     287,815         299     55,3808
        1650        1650     288,584         300     51,4615
        1656        1656     289,376         301     47,4504
        1662        1662     290,207         302     43,3554
        1668        1668     291,065         303     39,2167
        1674        1674     291,969         304     35,0295
        1680        1680     292,894         305     30,8707
        1686        1686     293,867         306     26,7378
        1692        1692     294,893         307     22,6923
        1698        1698      295,97         308      18,772
        1704        1704     297,113         309      15,012
        1710        1710     298,348         310     11,4802
        1716        1716     299,703         311     8,36423
        1722        1722     301,215         312     5,77628
        1728        1728     302,923         313     3,99408
        1734        1734     304,724         314     3,16949
        1740        1740     306,422         315     2,91692
        1746        1746     307,944         316     2,82891
        1752        1752     309,405         317     2,78241
        1758        1758     310,785         318     2,75298
        1764        1764     312,119         319     2,73214
        1770        1770     313,404         320     2,71455
        1776        1776     314,651         321     2,69949
        1782        1782     315,864         322     2,68637
        1788        1788     317,051         323      2,6745
        1794        1794     318,224         324     2,66316
        1800        1800     319,363         325     2,65308
        1806        1806     320,488         326     2,64345
        1812        1812     321,602         327     2,63467
        1818        1818     322,688         328     2,62569
