                                                                21.09.2022 12:03
________________________________________________________________________________



Curve Name:
  !$PHBH AG 10
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
            174       -50,0007     -0,0153916
            175       -50,0007     -0,0156397
            176       -50,0007     -0,0164094
            177       -50,0007     -0,0170321
            178       -50,0008     -0,0178558
            179       -50,0008     -0,0184525
            180       -50,0008     -0,0188551
            181       -50,0008     -0,0189328
            182       -50,0008     -0,0197285
            183       -50,0008     -0,0199343
            184       -50,0008     -0,0191826
            185       -50,0008     -0,0189317
            186       -50,0007     -0,0175792
            187       -50,0007     -0,0166916
            188       -50,0007     -0,0156878
            189       -50,0006     -0,0152043
            190       -50,0006     -0,0152121
            191       -50,0007     -0,0156765
            192       -50,0007     -0,0162151
            193       -50,0007     -0,0173532
            194       -50,0008     -0,0183801
            195       -50,0008     -0,0184646
            196       -50,0008     -0,0189819
            197       -50,0008     -0,0194279
            198       -50,0008     -0,0190132
            199       -50,0008     -0,0183897
            200       -50,0008     -0,0180119
            201       -50,0007     -0,0170407
            202       -50,0007     -0,0163506
            203       -50,0006     -0,0152097
            204       -50,0006     -0,0149351
            205       -50,0007     -0,0153839
            206       -50,0007      -0,016181
            207       -50,0007     -0,0167725
            208       -50,0008      -0,017744
            209       -50,0008     -0,0183459
            210       -50,0008     -0,0183773
            211       -50,0008     -0,0192642
            212       -50,0008     -0,0193133
            213       -50,0008     -0,0187905
            214       -50,0008     -0,0181092
            215       -50,0007     -0,0174858
            216       -50,0007     -0,0169814
            217       -50,0007      -0,016049
            218       -50,0007     -0,0154471
            219       -50,0007     -0,0154049
            220       -50,0007     -0,0158906
            221       -50,0007     -0,0160858
            222       -50,0007     -0,0165169
            223       -50,0008     -0,0177594
            224       -50,0008     -0,0186754
            225       -50,0008      -0,019105
            226       -50,0008     -0,0198956
            227       -50,0008     -0,0196984
            228       -50,0008     -0,0195012
            229       -50,0008     -0,0189625
            230       -50,0008     -0,0177408
            231       -50,0007     -0,0162624
            232       -50,0007     -0,0156393
            233       -50,0006     -0,0147442
            234       -50,0006     -0,0146147
            235       -50,0007     -0,0154805
