                                                                21.09.2022 12:04
________________________________________________________________________________



Curve Name:
  !$PHBH pAG
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
              0            -50   -0,000972868
            196       -50,0015     -0,0514439
            197       -50,0015     -0,0518983
            198       -50,0015     -0,0525728
            199       -50,0015     -0,0520762
            200       -50,0015     -0,0522617
            201       -50,0015     -0,0521526
            202       -50,0015     -0,0521977
            203       -50,0015      -0,051898
            204       -50,0015     -0,0523446
            205       -50,0015     -0,0526057
            206       -50,0015     -0,0520722
            207       -50,0015     -0,0514365
            208       -50,0015     -0,0515099
            209       -50,0015     -0,0521474
            210       -50,0015     -0,0529378
            211       -50,0015     -0,0527667
            212       -50,0015     -0,0528166
            213       -50,0015     -0,0523433
            214       -50,0015     -0,0520474
            215       -50,0015     -0,0520158
            216       -50,0015      -0,052147
            217       -50,0015      -0,052009
            218       -50,0015     -0,0517563
            219       -50,0015     -0,0519416
            220       -50,0015     -0,0516155
            221       -50,0015     -0,0507895
            222       -50,0015     -0,0510101
            223       -50,0015     -0,0511796
            224       -50,0015     -0,0513303
            225       -50,0015     -0,0516671
            226       -50,0015     -0,0513384
            227       -50,0015     -0,0511054
            228       -50,0015     -0,0514912
            229       -50,0015     -0,0511329
            230       -50,0015     -0,0505726
            231       -50,0015     -0,0505254
            232       -50,0015     -0,0505286
            233       -50,0015     -0,0507462
            234       -50,0015     -0,0513145
            235       -50,0015      -0,050405
            236       -50,0015     -0,0506628
            237       -50,0015     -0,0508098
            238       -50,0014     -0,0501977
            239       -50,0015     -0,0507497
            240       -50,0014     -0,0503089
            241       -50,0014     -0,0497283
            242       -50,0014     -0,0493278
            243       -50,0015      -0,050376
            244       -50,0015     -0,0508135
            245       -50,0015     -0,0509589
            246       -50,0015     -0,0509382
            247       -50,0015     -0,0506787
            248       -50,0015     -0,0504651
            249       -50,0015     -0,0503702
            250       -50,0015     -0,0505034
            251       -50,0014     -0,0499306
            252       -50,0014     -0,0498648
            253       -50,0014     -0,0502766
            254       -50,0015     -0,0504825
            255       -50,0015     -0,0505704
            256       -50,0015     -0,0503699
            257       -50,0014     -0,0502832
            258       -50,0015     -0,0506643
            259       -50,0015     -0,0511218
            260       -50,0015     -0,0506313
            261       -50,0014      -0,050333
            262       -50,0014     -0,0503202
            263       -50,0014     -0,0503157
            264       -50,0014     -0,0498819
            265       -50,0015     -0,0505016
            266       -50,0015     -0,0505428
            267       -50,0015     -0,0506664
            268       -50,0015     -0,0508589
            269       -50,0015     -0,0510294
            270       -50,0015     -0,0512114
            271       -50,0015     -0,0513685
            272       -50,0015     -0,0506915
            273       -50,0015      -0,050548
            274       -50,0015     -0,0504296
            275       -50,0014     -0,0502525
            276       -50,0014     -0,0497254
            277       -50,0014     -0,0497793
            278       -50,0014     -0,0497151
            279       -50,0014     -0,0503133
            280       -50,0015     -0,0508245
            281       -50,0015     -0,0507972
            282       -50,0014          -0,05
            283       -50,0014     -0,0499407
            284       -50,0014     -0,0500179
            285       -50,0014     -0,0496034
            286       -50,0014     -0,0495773
            287       -50,0015     -0,0509317
            288       -50,0014     -0,0502652
            289       -50,0014     -0,0502999
            290       -50,0014     -0,0502775
            291       -50,0015     -0,0504348
            292       -50,0014     -0,0497377
            293       -50,0014     -0,0495272
            294       -50,0014     -0,0493298
            295       -50,0014     -0,0490711
            296       -50,0014     -0,0498611
            297       -50,0014     -0,0500586
            298       -50,0014     -0,0500149
            299       -50,0014     -0,0502477
            300       -50,0014     -0,0499947
            301       -50,0014     -0,0501277
            302       -50,0014     -0,0499234
            303       -50,0014     -0,0489466
            304       -50,0014      -0,049148
            305       -50,0014     -0,0493997
            306       -50,0014     -0,0494161
            307       -50,0014     -0,0488847
            308       -50,0014      -0,049783
            309       -50,0014     -0,0496669
            310       -50,0014     -0,0495138
            311       -50,0014     -0,0491319
            312       -50,0014     -0,0496431
            313       -50,0014      -0,050189
            314       -50,0014     -0,0499381
            315       -50,0014      -0,049565
            316       -50,0014     -0,0497097
            317       -50,0014       -0,04972
            318       -50,0014     -0,0496139
            319       -50,0014      -0,049482
            320       -50,0014     -0,0496832
            321       -50,0014     -0,0501982
            322       -50,0014     -0,0500946
            323       -50,0014     -0,0494405
            324       -50,0014      -0,049394
            325       -50,0014     -0,0494909
            326       -50,0014     -0,0491846
            327       -50,0014     -0,0491181
            328       -50,0014     -0,0490682
            329       -50,0014     -0,0493727
            330       -50,0014     -0,0492421
            331       -50,0014     -0,0493436
            332       -50,0014     -0,0501208
            333       -50,0014     -0,0497181
            334       -50,0014     -0,0495399
            335       -50,0014      -0,049619
            336       -50,0014     -0,0495631
            337       -50,0014     -0,0495913
            338       -50,0014      -0,049637
            339       -50,0014     -0,0495658
            340       -50,0014      -0,049129
            341       -50,0014     -0,0492219
            342       -50,0014     -0,0490746
            343       -50,0014     -0,0488465
            344       -50,0014     -0,0491697
            345       -50,0014     -0,0496823
            346       -50,0014     -0,0500719
            347       -50,0014     -0,0501847
            348       -50,0014     -0,0499332
            349       -50,0014     -0,0491743
            350       -50,0014     -0,0488761
            351       -50,0014     -0,0491114
            352       -50,0014     -0,0494376
            353       -50,0014     -0,0488335
            354       -50,0014     -0,0485586
            355       -50,0014     -0,0484898
            356       -50,0014     -0,0496228
            357       -50,0014     -0,0491273
            358       -50,0014     -0,0493444
            359       -50,0014     -0,0494813
            360       -50,0014     -0,0490861
            361       -50,0014     -0,0487607
            362       -50,0014      -0,049144
            363       -50,0014     -0,0493016
            364       -50,0014     -0,0491886
            365       -50,0014     -0,0497776
            366       -50,0014      -0,049713
            367       -50,0014      -0,049144
            368       -50,0014     -0,0484446
            369       -50,0014     -0,0487131
            370       -50,0014     -0,0486977
            371       -50,0014     -0,0483999
            372       -50,0014     -0,0485072
            373       -50,0014     -0,0485637
            374       -50,0014     -0,0487686
            375       -50,0014     -0,0490214
            376       -50,0014     -0,0485691
            377       -50,0014     -0,0490955
            378       -50,0014     -0,0488551
            379       -50,0014     -0,0484698
            380       -50,0014     -0,0486305
            381       -50,0014     -0,0481816
            382       -50,0014     -0,0483479
            383       -50,0014      -0,048978
            384       -50,0014     -0,0494358
            385       -50,0014       -0,04891
            386       -50,0014      -0,048902
            387       -50,0014     -0,0490081
            388       -50,0014     -0,0490022
            389       -50,0014     -0,0485944
            390       -50,0014     -0,0486835
            391       -50,0014     -0,0489587
            392       -50,0014     -0,0493119
            393       -50,0014     -0,0487131
            394       -50,0014     -0,0484291
            395       -50,0014     -0,0486266
            396       -50,0014      -0,049249
            397       -50,0014     -0,0490022
            398       -50,0014     -0,0491467
            399       -50,0014     -0,0486612
            400       -50,0014     -0,0482662
            401       -50,0014     -0,0482588
            402       -50,0014     -0,0490073
            403       -50,0014     -0,0495145
            404       -50,0014      -0,049352
            405       -50,0014     -0,0490224
            406       -50,0014     -0,0486713
            407       -50,0014     -0,0485579
            408       -50,0014     -0,0486276
            409       -50,0014     -0,0489396
            410       -50,0014     -0,0489707
            411       -50,0014     -0,0493504
            412       -50,0014     -0,0493934
            413       -50,0014      -0,049105
            414       -50,0014     -0,0486318
            415       -50,0014     -0,0484032
            416       -50,0014     -0,0487539
            417       -50,0014     -0,0491874
            418       -50,0014     -0,0491563
            419       -50,0014     -0,0493494
            420       -50,0014     -0,0488555
            421       -50,0014      -0,047824
            422       -50,0014     -0,0476947
            423       -50,0014     -0,0477759
            424       -50,0014     -0,0481525
            425       -50,0014     -0,0480712
            426       -50,0014     -0,0483293
            427       -50,0014      -0,048621
            428       -50,0014     -0,0487352
            429       -50,0014     -0,0484429
            430       -50,0014     -0,0485666
            431       -50,0014     -0,0486129
            432       -50,0014      -0,048582
            433       -50,0014     -0,0485414
            434       -50,0014     -0,0484784
            435       -50,0014     -0,0485133
            436       -50,0014      -0,048491
            437       -50,0014     -0,0478228
            438       -50,0014     -0,0480085
            439       -50,0014     -0,0487516
            440       -50,0014     -0,0486584
            441       -50,0014     -0,0491225
            442       -50,0014      -0,049587
            443       -50,0014      -0,048815
            444       -50,0014     -0,0485087
            445       -50,0014      -0,048379
            446       -50,0014     -0,0483272
            447       -50,0014     -0,0485516
            448       -50,0014     -0,0490258
            449       -50,0014     -0,0488122
            450       -50,0014     -0,0478779
            451       -50,0014     -0,0477628
            452       -50,0014     -0,0479919
            453       -50,0014     -0,0485639
            454       -50,0014     -0,0485196
            455       -50,0014     -0,0485516
            456       -50,0014     -0,0485863
            457       -50,0014     -0,0486253
            458       -50,0014     -0,0485633
            459       -50,0014      -0,049033
            460       -50,0014     -0,0487685
            461       -50,0014     -0,0483775
            462       -50,0014     -0,0486713
            463       -50,0014     -0,0486984
            464       -50,0014     -0,0487828
            465       -50,0014     -0,0484009
            466       -50,0014     -0,0489344
            467       -50,0014     -0,0483456
            468       -50,0014     -0,0482504
            469       -50,0014     -0,0480202
            470       -50,0014     -0,0477783
            471       -50,0014     -0,0477627
            472       -50,0014     -0,0477898
            473       -50,0014     -0,0474454
            474       -50,0014     -0,0477158
            475       -50,0014     -0,0481116
            476       -50,0014     -0,0483621
            477       -50,0014     -0,0480788
            478       -50,0014     -0,0469517
            479       -50,0014       -0,04802
