"Id"	"Magnification"	"^CE Diameter (µm)"	"Length (µm)"	"Width (µm)"	"Max. Distance (µm)"	"Perimeter (µm)"	"Major Axis (°)"	"Area (µm²)"	"SE Volume (µm³)"	"Area (Pixels)"	"Circularity"	"HS Circularity"	"Convexity"	"Solidity"	"Aspect Ratio"	"Elongation"	"Intensity Mean"	"Intensity SD"	"Centre X Position (µm)"	"Centre Y Position (µm)"	"Frame Row"	"Frame Column"	"Frame Index"	"Edge stitched particle"	"Scaling Factor"	"Fiber Total Length (µm)"	"Fiber Width (µm)"	"Fiber Elongation"	"Fiber Straightness"	"Scan Area Correction"
8464	10.00	38.07	38.49	38.09	38.75	120.02	115.62	1138.09	28882.22	35312	0.992	0.984	0.996	0.998	0.990	0.010	34.067	12.951	51711.504	35202.820	59	69	10959	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2819	10.00	38.04	38.77	37.98	38.79	119.76	10.15	1136.55	28823.35	35264	0.993	0.987	0.998	0.999	0.980	0.020	42.330	11.563	29258.488	59419.215	120	27	3049	0	1	-1.00	-1.00	-1.000	-1.000	1.000
396	10.00	38.04	38.36	37.96	39.58	121.26	36.13	1136.32	28814.77	35257	0.981	0.962	0.989	0.995	0.990	0.010	31.673	13.063	18929.518	64354.629	132	7	449	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5435	10.00	38.00	38.50	37.80	39.46	120.51	95.79	1134.32	28738.79	35195	0.986	0.973	0.992	0.996	0.982	0.018	33.298	13.344	40754.070	48012.836	90	48	6755	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9882	10.00	37.93	39.73	37.60	39.76	119.74	141.42	1129.68	28562.59	35051	0.990	0.981	0.996	0.998	0.946	0.054	34.800	13.065	57333.996	22770.570	27	80	13066	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4563	10.00	37.92	38.26	38.04	38.62	120.08	18.47	1129.17	28543.04	35035	0.987	0.975	0.991	0.998	0.994	0.006	32.924	13.271	36867.531	43580.598	80	41	5482	0	1	-1.00	-1.00	-1.000	-1.000	1.000
14515	10.00	37.86	38.16	37.92	38.98	119.68	71.91	1126.01	28423.36	34937	0.989	0.979	0.993	0.998	0.994	0.006	32.249	13.290	72618.516	21640.953	25	109	18898	0	1	-1.00	-1.00	-1.000	-1.000	1.000
8830	10.00	37.86	38.66	36.80	39.09	119.77	17.02	1125.65	28409.94	34926	0.988	0.977	0.994	0.998	0.952	0.048	32.664	13.063	53026.805	17043.830	12	72	11435	0	1	-1.00	-1.00	-1.000	-1.000	1.000
15135	10.00	37.84	38.45	37.94	39.11	120.25	64.39	1124.36	28361.15	34886	0.984	0.968	0.991	0.996	0.987	0.013	35.800	11.682	75699.672	25306.205	33	114	19655	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4723	10.00	37.79	40.30	37.86	40.31	120.06	64.88	1121.56	28255.13	34799	0.984	0.969	0.993	0.996	0.939	0.061	33.238	13.427	37292.648	53507.203	104	42	5647	0	1	-1.00	-1.00	-1.000	-1.000	1.000
1899	10.00	37.76	39.22	37.36	39.28	119.12	9.44	1119.92	28193.03	34748	0.991	0.983	0.997	0.998	0.953	0.047	32.412	13.315	26006.881	75120.094	159	21	2105	0	1	-1.00	-1.00	-1.000	-1.000	1.000
14455	10.00	37.74	38.70	37.69	38.70	119.30	5.45	1118.56	28141.93	34706	0.989	0.979	0.996	0.998	0.974	0.026	33.610	12.789	72781.273	49225.949	94	109	18829	0	1	-1.00	-1.00	-1.000	-1.000	1.000
10547	10.00	37.72	38.61	37.26	38.75	118.93	130.97	1117.47	28100.59	34672	0.992	0.984	0.996	0.998	0.965	0.035	37.551	10.905	59427.859	55535.289	109	84	13956	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9281	10.00	37.71	38.73	37.21	38.97	119.31	12.13	1117.11	28087.21	34661	0.988	0.977	0.996	0.997	0.961	0.039	32.878	14.190	54823.570	33455.887	54	75	12176	0	1	-1.00	-1.00	-1.000	-1.000	1.000
3010	10.00	37.71	37.90	37.69	39.00	119.62	156.90	1116.85	28077.49	34653	0.986	0.972	0.992	0.996	0.994	0.006	34.236	12.390	30119.678	62791.938	128	28	3255	0	1	-1.00	-1.00	-1.000	-1.000	1.000
8691	10.00	37.71	38.26	38.09	38.35	119.17	15.32	1116.63	28068.99	34646	0.989	0.979	0.993	0.998	0.995	0.005	33.405	13.577	52551.527	61675.332	125	71	11297	0	1	-1.00	-1.00	-1.000	-1.000	1.000
15219	10.00	37.70	38.13	38.13	38.73	119.44	105.08	1116.47	28062.91	34641	0.987	0.974	0.992	0.997	1.000	0.000	34.653	12.470	75529.898	59801.883	120	114	19742	0	1	-1.00	-1.00	-1.000	-1.000	1.000
15608	10.00	37.68	38.97	37.60	39.30	118.73	42.54	1115.37	28021.61	34607	0.993	0.985	0.997	0.998	0.965	0.035	35.541	11.921	76972.531	26694.783	37	117	20309	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9868	10.00	37.67	39.02	37.47	39.26	119.06	71.88	1114.37	27983.96	34576	0.989	0.979	0.993	0.998	0.960	0.040	33.902	13.039	57486.355	19010.469	17	80	13056	0	1	-1.00	-1.00	-1.000	-1.000	1.000
8225	10.00	37.64	38.54	37.44	38.80	118.89	146.66	1112.47	27912.37	34517	0.990	0.980	0.994	0.998	0.972	0.028	34.064	13.079	50424.156	20384.900	21	67	10593	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9267	10.00	37.63	44.89	35.72	44.93	126.60	75.70	1112.34	27907.51	34513	0.929	0.864	0.971	0.979	0.796	0.204	30.450	15.970	54904.547	41437.785	74	75	12156	0	1	-1.00	-1.00	-1.000	-1.000	1.000
19112	10.00	37.62	43.90	32.49	44.10	121.28	34.02	1111.50	27875.99	34487	0.970	0.941	0.994	0.997	0.740	0.260	39.276	13.650	86922.023	37295.762	63	136	23085	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4693	10.00	37.58	38.25	37.23	38.49	118.68	47.40	1109.38	27796.00	34421	0.990	0.981	0.995	0.998	0.973	0.027	35.025	12.206	37312.617	47733.375	90	42	5633	0	1	-1.00	-1.00	-1.000	-1.000	1.000
12055	10.00	37.58	37.99	37.98	38.20	118.77	134.23	1109.02	27782.67	34410	0.989	0.979	0.992	0.997	1.000	0.000	35.590	12.006	64428.125	41742.633	75	93	15778	0	1	-1.00	-1.00	-1.000	-1.000	1.000
11488	10.00	37.58	38.15	37.98	38.31	118.76	169.32	1108.99	27781.46	34409	0.989	0.979	0.994	0.998	0.996	0.004	32.770	14.263	62771.984	62141.590	126	90	15181	0	1	-1.00	-1.00	-1.000	-1.000	1.000
