#EXPORTTYPE:DATA SINGLE
#FILE:PHBH.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:22.09.2021 15:49
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH
#SAMPLE MASS /mg:6.4
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /‘V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:-30›C/10,0(K/min)/180›C
#SEGMENT:S5/5
#SEG. 5:-30›C/10,0(K/min)/180›C

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 85.16247;54.01880;      -0.40912;3.47149
 86.16247;54.11906;      -0.41351;3.47100
 87.16247;54.21944;      -0.41846;3.47050
 88.16247;54.31967;      -0.42426;3.46997
 89.16247;54.41980;      -0.43046;3.46943
 90.16247;54.51999;      -0.43614;3.46888
 91.16247;54.62037;      -0.44150;3.46830
 92.16247;54.72057;      -0.44649;3.46771
 93.16247;54.82086;      -0.45066;3.46709
 94.16247;54.92078;      -0.45581;3.46647
 95.16247;55.02042;      -0.45902;3.46582
 96.16247;55.12041;      -0.45803;3.46516
 97.16247;55.22070;      -0.45685;3.46448
 98.16247;55.32140;      -0.45868;3.46378
 99.16247;55.42198;      -0.46623;3.46307
100.16247;55.52217;      -0.47654;3.46234
101.16247;55.62254;      -0.48269;3.46159
102.16247;55.72251;      -0.49350;3.46082
103.16247;55.82273;      -0.50152;3.46004
104.16247;55.92266;      -0.51304;3.45925
105.16247;56.02324;      -0.52965;3.45843
106.16247;56.12434;      -0.54734;3.45760
107.16247;56.22566;      -0.56157;3.45675
108.16247;56.32623;      -0.56610;3.45589
109.16247;56.42571;      -0.54952;3.45501
110.16247;56.52447;      -0.51876;3.45411
111.16247;56.62316;      -0.48708;3.45319
112.16247;56.72215;      -0.46590;3.45227
113.16247;56.82160;      -0.46132;3.45132
114.16247;56.92135;      -0.46956;3.45036
115.16247;57.02159;      -0.48497;3.44938
116.16247;57.12245;      -0.50365;3.44838
117.16247;57.22375;      -0.52548;3.44737
118.16247;57.32506;      -0.55433;3.44635
119.16247;57.42616;      -0.58402;3.44531
120.16247;57.52729;      -0.61244;3.44425
121.16247;57.62847;      -0.63749;3.44317
122.16247;57.72948;      -0.66154;3.44209
123.16247;57.83034;      -0.68534;3.44098
124.16247;57.93126;      -0.70436;3.43986
125.16247;58.03221;      -0.71951;3.43872
126.16247;58.13296;      -0.73077;3.43757
127.16247;58.23344;      -0.73635;3.43641
128.16247;58.33350;      -0.73742;3.43522
129.16247;58.43317;      -0.72971;3.43403
130.16247;58.53253;      -0.71225;3.43282
131.16247;58.63154;      -0.68696;3.43159
132.16247;58.73038;      -0.65195;3.43035
133.16247;58.82897;      -0.61148;3.42909
134.16247;58.92730;      -0.56864;3.42782
