                                                                20.09.2022 09:21
________________________________________________________________________________



Curve Name:
  !$PHBH p09
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
            174       -50,0009     -0,0384189
            175       -50,0009     -0,0383983
            176       -50,0009     -0,0385679
            177       -50,0009     -0,0387658
            178       -50,0009      -0,038727
            179       -50,0009     -0,0392921
            180       -50,0009     -0,0397644
            181       -50,0009     -0,0399207
            182       -50,0009     -0,0399719
            183       -50,0009     -0,0387997
            184       -50,0009     -0,0382917
            185       -50,0009     -0,0384373
            186       -50,0009     -0,0391094
            187       -50,0009     -0,0390501
            188       -50,0009     -0,0385599
            189       -50,0009     -0,0383913
            190       -50,0009     -0,0382479
            191       -50,0009     -0,0381885
            192       -50,0009     -0,0383292
            193       -50,0009     -0,0384031
            194       -50,0009     -0,0389477
            195       -50,0009     -0,0389274
            196       -50,0009     -0,0389023
            197       -50,0009     -0,0389932
            198       -50,0009     -0,0379308
            199       -50,0009      -0,038379
            200       -50,0009     -0,0385685
            201       -50,0009     -0,0389668
            202       -50,0009     -0,0394113
            203       -50,0009     -0,0392549
            204       -50,0009     -0,0392156
            205       -50,0009     -0,0385418
            206       -50,0009     -0,0380048
            207       -50,0009     -0,0385897
            208       -50,0009     -0,0385212
            209       -50,0009     -0,0391866
            210       -50,0009     -0,0405006
            211       -50,0009     -0,0392902
            212       -50,0009     -0,0388117
            213       -50,0009      -0,038074
            214       -50,0009     -0,0379494
            215       -50,0009     -0,0380834
            216       -50,0009      -0,038743
            217       -50,0009     -0,0397074
            218       -50,0009     -0,0388753
            219       -50,0009     -0,0379217
            220       -50,0009     -0,0383309
            221       -50,0009     -0,0393692
            222       -50,0009     -0,0392775
            223       -50,0009     -0,0389347
            224       -50,0009      -0,038733
            225       -50,0009     -0,0391242
            226       -50,0009     -0,0394102
            227       -50,0009     -0,0392454
            228       -50,0009     -0,0388353
            229       -50,0009     -0,0392981
            230       -50,0009     -0,0391209
            231       -50,0009     -0,0396336
            232       -50,0009     -0,0394839
            233       -50,0009      -0,038978
            234       -50,0009     -0,0383244
            235       -50,0009     -0,0376034
            236       -50,0009     -0,0380323
            237       -50,0009     -0,0379702
            238       -50,0009     -0,0383377
            239       -50,0009     -0,0387199
            240       -50,0009      -0,039003
            241       -50,0009       -0,03916
            242       -50,0009      -0,038809
            243       -50,0009     -0,0380674
            244       -50,0009     -0,0383793
            245       -50,0009     -0,0391785
            246       -50,0009     -0,0394559
            247       -50,0009     -0,0392361
            248       -50,0009     -0,0388717
            249       -50,0009     -0,0389237
            250       -50,0009     -0,0389235
            251       -50,0009     -0,0386111
            252       -50,0009     -0,0380581
            253       -50,0009     -0,0377703
            254       -50,0009      -0,037952
            255       -50,0009     -0,0377526
            256       -50,0009     -0,0379083
            257       -50,0009      -0,037869
            258       -50,0009     -0,0378977
            259       -50,0009     -0,0375953
            260       -50,0009     -0,0381803
            261       -50,0009     -0,0383654
            262       -50,0009     -0,0379304
            263       -50,0009     -0,0381667
            264       -50,0009     -0,0386799
            265       -50,0009     -0,0388147
            266       -50,0009     -0,0388351
            267       -50,0009     -0,0388418
            268       -50,0009     -0,0388414
            269       -50,0009     -0,0386722
            270       -50,0009     -0,0381357
            271       -50,0009     -0,0371246
